objectid,parentid,title,architect,extension_architect,architect_url,donor,date_built,date_began,date_completed,status,date_demolished,area,current_use,description,campus,address,longitude,latitude,identifier,source,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,hidden
cb002_11,cb002,Roscoe Wing Lounge (1965),,,,,,,,,,,,,,,,,PU019389,,Image;StillImage,image/jpg,,,,image,/objects/cb002_11.jpg,/objects/small/cb002_11_sm.jpg,/objects/thumbs/cb002_11_th.jpg,
cb002_12,cb002,Cafeteria (1975),,,,,,,,,,,,,,,,,PR014954,,Image;StillImage,image/jpg,,,,image,/objects/cb002_12.jpg,/objects/small/cb002_12_sm.jpg,/objects/thumbs/cb002_12_th.jpg,
cb002_13,cb002,Dining Hall (May 1973),,,,,,,,,,,,,,,,,PU012352,,Image;StillImage,image/jpg,,,,image,/objects/cb002_13.jpg,/objects/small/cb002_13_sm.jpg,/objects/thumbs/cb002_13_th.jpg,
cb002_14,cb002,Entrance to Roscoe Wing,,,,,,,,,,,,,,,,,PS005046,,Image;StillImage,image/jpg,,,,image,/objects/cb002_14.jpg,/objects/cb002_14.jpg,/objects/cb002_14.jpg,
cb002_15,cb002,"Workman House ""Parkside"" (1878)",,,,,,,,,,,,,,,,,,Notman Archives (McCord Museum),Image;StillImage,image/jpg,,,,image,/objects/cb002_15.jpg,/objects/cb002_15.jpg,/objects/cb002_15.jpg,
cb002_16,cb002,Pollack Hall construction,,,,,,,,,,,,,,,,,PR034290,,Image;StillImage,image/jpg,,,,image,/objects/cb002_16.jpg,/objects/small/cb002_16_sm.jpg,/objects/thumbs/cb002_16_th.jpg,
cb003,,"Jesse Joseph House ""Dilcoosha""",Unknown,,,Sir William Macdonald,1865,,,Demolished ,1955,Square Mile Mansions,,"Dilcoosha, a Hindustani word meaning ""The Heart's Delight"", was built on the corner of Sherbrooke and McTavish Streets for Jesse Joseph, an entrepreneur who had interests in several Canadian companies. The mansion was designed in an exotic style called Egyptian Renaissance and possessed a lavish interior. In 1904, Joseph died and in 1909, Sir William Macdonald, always a true friend to the University, purchased the house and presented it to McGill. During the first World War, Dilcoosha served as a headquarters for the COTC, who used the long upstairs hall as a target range. After the War, in 1919, McGill inherited in full the collections of David McCord, a municipal lawyer and avid acquirer of rare objects associated with Canadian history. This assemblage is known today as theMcCord Museum of Canadian History. Dilcoosha, then vacant, was an ideal place to house and display the Canadian artifacts and so the McCord Museum came into being. In 1955, Dilcoosha was demolished as a result of several structural problems and the McCord Museum was moved to the Hodgeson House on Drummond and Dr. Penfield. Today, theMcLennan Library, erected in 1967, stands on the site of Joseph's old mansion and the McCord Museum resides in the Old Student Union Building, designed by Percy Erskine Nobbs, on Sherbrooke Street.",,"3459 Rue McTavish, Montréal, QC H3A 0C9",45.50310564,-73.57619108,,,Image;StillImage,,,,,multiple,/objects/cb003_01.jpg,/objects/cb003_01.jpg,/objects/cb003_01.jpg,
cb003_01,cb003,"""Dilcoosha"" as McCord Museum",,,,,,,,,,,,,,,,,,Notman Archive (McCord Museum),,image/jpg,,,,image,/objects/cb003_01.jpg,/objects/cb003_01.jpg,/objects/cb003_01.jpg,
cb003_02,cb003,Attic with Paintings,,,,,,,,,,,,,,,,,,Notman Archive (McCord Museum),,image/jpg,,,,image,/objects/cb003_02.jpg,/objects/cb003_02.jpg,/objects/cb003_02.jpg,
cb004,,Peterson Hall,J. Cecil McDougall,,,none,1933,,,Standing,,Lower McTavish,French Language and Literature,"Peterson Hall was built by J. Cecil McDougall, a colleague of Harold Fetherstonhaugh, in 1933 to house the Protestant School Board. This three-storey, white, concrete structure, located on McTavish Street, has a stone exterior which features carvings and inscriptions related to education. It was purchased by McGill in 1960 to provide a space for the Department of French Language and Literature and still serves this function today. The building was renamed Peterson Hall after Sir William Peterson, principal of the University from 1895 through World War I to 1919. All of the language departments greatly benefit from the language labs in the basement of Peterson Hall.",Downtown Campus,"3460 Rue McTavish, Montréal, QC H3A 1W7",45.50343358,-73.57762531,,McGill Archives,,,,The copyright and related rights status of this Item has not been evaluated. Please contact the McGill Archives for more information,https://rightsstatements.org/vocab/CNE/1.0/,compound_object,/objects/cb004_01.jpg,/objects/small/cb004_01_sm.jpg,/objects/thumbs/cb004_01_th.jpg,
